model,eer,eer_percent,minDCF
ecapa-tdnn,0.03984116920826639,3.984116920826639,0.3152425321645261
ecapa2,0.02152223964763716,2.1522239647637162,0.19772937779770228
redimnet,0.02792885982181347,2.792885982181347,0.2567100318870451
